titles  ,  years  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide,  genres1  ,genres2,genres3
Furious 7  ,2015,  PG-13  ,364207,  /title/tt2820852/ ,7.1,67,7.5,7.4,7,6.8,7,7.5,7.3,6.9,6.8,7.6,7.9,7.8,7.4,7.5,147187040,190000000,353007020,1162248602,1515255622,  Action, Adventure, Thriller  
San Andreas  ,2015,  PG-13  ,216507,  /title/tt2126355/ ,6.1,43,6.1,6.2,6,6.1,6,5.9,6.1,5.9,6,6.5,6.3,6.6,6.3,6.6,54588173,110000000,155190832,318800000,473990832,  Action, Adventure, Thriller  
Hercules  ,  I 2014  ,  PG-13  ,147727,  /title/tt1267297/ ,6,47,6.1,6.1,5.9,6.1,6,5.9,6.1,5.9,6.1,6.1,6.2,6.2,6,6.5,29800263,100000000,72688614,172131248,244819862,  Action, Adventure, Fantasy  
G.I. Joe: Retaliation  ,2013,  PG-13  ,174463,  /title/tt1583421/ ,5.8,41,5.7,6,5.7,5.7,5.7,5.6,6,5.7,5.6,6,6.2,6.3,5.8,6.1,40501814,130000000,122523060,253217645,375740705,  Action, Adventure, Sci-Fi  
Furious 6  ,2013,  PG-13  ,372748,  /title/tt1905041/ ,7,61,7.1,7.3,6.9,6.8,7,7.1,7.2,6.9,6.7,7.5,7.1,7.7,7.3,7.4,97375245,160000000,238679850,550001118,788680968,  Action, Adventure, Thriller  
Pain & Gain  ,2013,  R  ,203281,  /title/tt1980209/ ,6.4,45,6.4,6.5,6.4,6.2,6.4,6.3,6.6,6.4,6.2,6,6.7,6.1,6,6,20244505,26000000,49875291,37430258,87305549,  Action, Comedy, Crime  
Snitch  ,  I 2013  ,  PG-13  ,84008,  /title/tt0882977/ ,6.4,51,6,6.6,6.4,6.4,6.4,6,6.6,6.4,6.4,6.5,8,6.6,6.4,6.7,13167607,  None  ,42930462,14894212,57824674,  Action, Drama, Thriller  
Empire State  ,2013,  R  ,20084,  /title/tt2171867/ ,5.2,  None  ,6.8,5.3,5.1,5.3,5.2,6.5,5.4,5.1,5.3,5.1,7,5.1,5,5.2, None  ,  None  ,  None  ,1212500,1212500,  Action, Crime, Thriller  
Journey 2: The Mysterious Island  ,2012,  PG  ,95212,  /title/tt1397514/ ,5.8,41,5.8,5.9,5.7,5.7,5.7,6,5.8,5.6,5.6,6.1,4.8,6.2,6,6.3,27335363,79000000,103860290,231400000,335260290,  Action, Adventure, Family  
Fast Five  ,2011,  PG-13  ,357034,  /title/tt1596343/ ,7.3,66,7.5,7.5,7.2,6.9,7.2,7.5,7.5,7.2,6.9,7.6,7.4,7.8,7.4,7.4,86198765,125000000,209837675,416300000,626137675,  Action, Adventure, Crime  
Faster  ,2010,  R  ,101926,  /title/tt1433108/ ,6.4,44,5.7,6.5,6.4,6.4,6.4,5.7,6.5,6.4,6.4,6.5,10,6.6,6.4,6.7,8523153,24000000,23240020,12386938,35626958,  Action, Crime, Drama  
Tooth Fairy  ,  I 2010  ,  PG  ,43026,  /title/tt0808510/ ,5,36,4.5,5,5,5.3,4.9,4.4,4.8,4.9,5.2,5.5,4.8,5.5,5.4,5.8,14010409,48000000,60022256,52440252,112462508,  Comedy, Family, Fantasy  
Race to Witch Mountain  ,2009,  PG  ,56534,  /title/tt1075417/ ,5.7,52,5.3,5.6,5.6,5.9,5.7,4.8,5.6,5.6,5.9,5.9,6,5.9,5.8,6.2,24402214,  None  ,67172594,39214547,106387141,  Action, Adventure, Family  
Planet 51  ,2009,  PG  ,51593,  /title/tt0762125/ ,6,39,5.3,5.8,6.1,6.2,6,5.2,5.8,6.1,6.2,6.2,5.3,6.1,6.3,6.3,12286129,70000000,42194060,63453042,105647102,  Animation, Adventure, Comedy  
Get Smart  ,2008,  PG-13  ,206060,  /title/tt0425061/ ,6.5,54,6.3,6.6,6.4,6.3,6.5,6.4,6.6,6.5,6.3,6.4,6,6.5,6.3,6.4,38683480,80000000,130319208,100366245,230685453,  Action, Adventure, Comedy  
The Game Plan  ,2007,  PG  ,59968,  /title/tt0492956/ ,6.1,44,5.5,6.1,6.2,6.2,6,5.3,5.9,6.1,6.1,6.5,6.1,6.5,6.5,6.8,22950971,  None  ,90648202,57232341,147880543,  Comedy, Family, Sport  
Gridiron Gang  ,2006,  PG-13  ,57597,  /title/tt0421206/ ,6.9,52,6.8,7.1,6.9,6.8,6.9,6.8,7.1,6.8,6.7,7.3,7,7.3,7.2,7.6,14414630,30000000,38432823,3048028,41480851,  Biography, Crime, Drama  
Southland Tales  ,2006,  R  ,37458,  /title/tt0405336/ ,5.4,44,4.3,5.3,5.5,5.1,5.4,3.7,5.3,5.5,5,5.3,7,5.6,5.2,5.4,117000,  None  ,275380,99363,374743,  Comedy, Drama, Mystery  
Doom  ,2005,  R  ,108922,  /title/tt0419706/ ,5.2,34,4.6,5.3,5.2,5.3,5.2,4,5.3,5.2,5.2,5.6,5.7,5.7,5.5,5.7,15488870,60000000,28212337,29859782,58072119,  Action, Horror, Sci-Fi  
Be Cool  ,2005,  PG-13  ,67576,  /title/tt0377471/ ,5.7,37,5.6,5.7,5.7,5.6,5.7,5.8,5.7,5.7,5.6,5.5,7,5.3,5.4,5.7,23450212,53000000,56046979,39716737,95763716,  Comedy, Crime, Music  
Walking Tall  ,2004,  PG-13  ,71557,  /title/tt0351977/ ,6.3,44,6.3,6.4,6.2,6.1,6.2,6.3,6.4,6.2,6,6.5,6,6.6,6.3,6.7,15501114,46000000,46437717,10786173,57223890,  Action, Crime  ,
The Rundown  ,2003,  PG-13  ,102047,  /title/tt0327850/ ,6.7,59,6.8,6.7,6.7,6.6,6.7,6.9,6.7,6.7,6.6,6.7,6.3,6.7,6.7,7,18553765,85000000,47726342,33255572,80981914,  Action, Adventure, Comedy  
The Scorpion King  ,2002,  PG-13  ,131826,  /title/tt0277296/ ,5.5,45,5.5,5.6,5.4,5.7,5.5,5.3,5.6,5.4,5.6,5.7,6.9,5.8,5.5,6,36075875,60000000,91047077,89583830,180630907,  Action, Adventure, Fantasy  
